ID карточки,ID товара,ISBN,Автор,Возраст,Год издания,Голоса,Издательство,Кол-во страниц,Название,Обложка,Переводчик,Редактор,Рейтинг,Серия,Составитель,Тип обложки,Тираж,Формат,Художник,Цена
281240,2070476,596970010X,Пушкин А.,,2005,0,Вагриус,461,Пушкин Собр. сочинений т.5 / 10тт Евгений Онегин,https://img-gorod.ru/upload/iblock/f5b/f5b88b30339c2d1a53d8c90601319d83.jpg,,,0,,,Суперобложка,,,,
281669,2072147,5790540228,Пушкин А.,,2005,0,Рипол-Классик,352,Илл. собрание откровенных стихов поэм и высказываний Кн.2,https://img-gorod.ru/upload/iblock/f3b/f3ba2e6c11da3e988b559469d3d30543.jpg,,,0,Чувственная классика,,Твердая бумажная,,27.1 x 21.2 x 2.3,,
282007,2073369,5969700118,Пушкин А.,,2006,0,Вагриус,460,Пушкин Собр. сочинений т.6 / 10тт Художественная проза,https://img-gorod.ru/upload/iblock/cf5/cf5beef56df83fb18fe156ae63695aeb.jpg,,,0,Собрание сочинений,,Суперобложка,,21.8 x 15 x 3.1,,
282696,2075744,9785974400421,Пушкин А.,,2006,0,Милена,240,Ради резвого разврата,https://img-gorod.ru/upload/iblock/b32/b3268c1fcba660f5552acab64558b099.jpg,,,0,Только для взрослых,,Твердая бумажная,,17.1 x 11.4 x 1.7,,
283646,2079168,9785813807329,Пушкин А.,,2006,0,Русич,272,У лукоморья,https://img-gorod.ru/upload/iblock/183/183f09240dfeea81037ef760fb0c1561.jpg,,,0,,,Твердая глянцевая,,22.3 x 17.5 x 2.2,,
286957,2089400,5170362706,Пушкин А.,,2006,0,АСТ Астрель,237,Евгений Онегин,https://img-gorod.ru/upload/iblock/0d0/0d0dc6d206b3fd972e79748d4353378d.jpg,,,0,Хрестоматия школьника,,Мягкая глянцевая,,20.1 x 12.7 x 1.1,,
287153,2090179,9785699165360,Пушкин А.,,2006,0,Эксмо,352,Пушкин Стихотворения,https://img-gorod.ru/upload/iblock/716/7165b803584ea6d9637e0cb9a0abd69c.jpg,,,0,Поэтическая библиотека,,Твердая бумажная,,14.8 x 11.5 x 1.9,,
287258,2090426,9785170389261,Пушкин А.,,2006,0,АСТ Астрель,251,Повести Белкина,https://img-gorod.ru/upload/iblock/06b/06b7152f2a8b23631cfa7c7de559ecd0.jpg,,,0,Любимое чтение,,Твердая глянцевая,,20.7 x 13.5 x 1.7,,118
288025,2092413,9785170686278,Пушкин А.,,2006,0,АСТ Астрель,201,Дубровский Капитанская дочка,https://img-gorod.ru/upload/iblock/28f/28f01972fe598b0352ff8b3c4f14b175.jpg,,Архарова И. Н.,0,Хрестоматия школьника,,Мягкая глянцевая,,,,
288325,2093140,5170382782,Пушкин А.,,2006,0,Аст Хранитель,317,Евгений Онегин Драмы,https://img-gorod.ru/upload/iblock/744/7447fbe5db42b749e71a5b75d07f1316.jpg,,,0,Классическая современная проза,,Мягкая глянцевая,,20 x 12.6 x 0.8,,
288617,2093938,9789851372931,Пушкин А.,,2006,0,Харвест,512,Лирика,https://img-gorod.ru/upload/iblock/11f/11f67448b5e2f90091568bf12ce08554.jpg,,,0,,,Твердая бумажная,,9.8 x 8 x 2.8,,549
288672,2094058,5811219784,Пушкин А.,,2006,0,Айрис-пресс,352,Капитанская дочка,https://img-gorod.ru/upload/iblock/e01/e013836d317797589b0185b25c70dfa0.jpg,,,0,Русская литература Произведения школьной программы,,Мягкая бумажная,,,,
288715,2094208,5699177450,Пушкин А.,,2006,0,Эксмо,352,В крови горит огонь желанья От Хафиза до Шекспира,,,,0,Народная поэзия,,Твердая бумажная,,14.8 x 11.5 x 2,,
