ID карточки,ID товара,ISBN,Автор,Возраст,Год издания,Голоса,Издательство,Кол-во страниц,Название,Обложка,Переводчик,Редактор,Рейтинг,Серия,Тип обложки,Тираж,Формат,Художник,Цена
861223,2487954,9785170929856,Фрай М.,16+,2015,6,АСТ,1200,Лабиринты EXO. Том 1. Чужак. Волонтеры вечности. Простые волшебные вещи. Темная сторона. Наваждения,,,,4,,Твердая бумажная,3000,26.4 x 20.1 x 5.3,,1330
866062,2490750,9785699816873,Емец Д.,12+,2015,1,Эксмо,352,Таня Гроттер и трон Древнира,,,,3,Таня Гроттер. Легендарное детское фэнтези,Твердая бумажная,5000,21.8 x 14.1 x 2.2,,354
867637,2491859,9785170925070,Фрай М.,16+,2016,3,АСТ,384,"Горе господина Гро. История, рассказанная сэром Кофой Йохом",,,,5,Хроники Ехо,Твердая бумажная,4000,20.6 x 13 x 2.4,,356
868652,2492869,9785170925148,Фрай М.,16+,2016,2,АСТ,480,Сказки старого Вильнюса IV,,,,4,,Суперобложка,10000,20.6 x 13.5 x 2.7,,359
870661,2495796,9785170925087,Фрай М.,16+,2016,6,АСТ,320,Сказки старого Вильнюса,,,,4,,Суперобложка,3500,20.6 x 13 x 2,,332
870662,2495797,9785170925100,Фрай М.,16+,2016,4,АСТ,,Сказки старого Вильнюса II,,,,5,,Суперобложка,3000,20.6 x 13 x 2.5,,356
870663,2495798,9785170925124,Фрай М.,16+,2016,2,АСТ,,Сказки старого Вильнюса III,,,,5,,Суперобложка,3500,20.6 x 13 x 2.6,,332
872961,2497515,9785170925155,Фрай М.,16+,2016,2,АСТ,352,"Обжора-хохотун. История, рассказанная сэром Мелифаро",,,,5,Хроники Ехо,Твердая бумажная,4000,20.6 x 13 x 2.2,,356
874517,2498593,9785699847600,Емец Д.,6+,2016,0,Эксмо,240,День карапузов,,,,0,Моя большая семья,Твердая бумажная,5000,21.7 x 16.6 x 2,,389
874518,2498594,9785699849901,Емец Д.,,2016,0,Эксмо,240,День карапузов,,,,0,Моя большая семья,Твердая бумажная,5000,21.7 x 16.6 x 2,,389
874523,2498599,9785699835874,Емец Д.,16+,2016,0,Эксмо,416,Таня Гроттер и посох волхвов,,,,0,Таня Гроттер. Легендарное детское фэнтези,Твердая бумажная,5000,21.7 x 14.4 x 2.6,,327
875812,2499957,9785170925193,Фрай М.,16+,2016,4,АСТ,416,Дар Шаванахолы,,,,3,Хроники Ехо,Твердая бумажная,4000,20.5 x 13 x 2.3,,356
878449,2501341,9785699835867,Емец Д.,16+,2016,0,Эксмо,352,Таня Гроттер и молот Перуна,,,,0,Таня Гроттер. Легендарное детское фэнтези,Твердая бумажная,4000,21.8 x 14.3 x 2.3,,368
882380,2504150,9785170951970,Фрай М.,16+,2016,4,АСТ,416,Тубурская игра,,,,5,Хроники Ехо,Твердая бумажная,4000,20.5 x 13 x 2.3,,356
886599,2507584,9785170925223,Фрай М.,18+,2016,3,АСТ,448,Энциклопедия мифов: А-К,,,,4,Миры Макса Фрая,Твердая бумажная,4000,20.6 x 13.1 x 2.4,,356
887009,2507692,9785699844418,Емец Д.,16+,2016,0,Эксмо,384,Таня Гроттер и пенсне Ноя,,,,0,Таня Гроттер. Легендарное детское фэнтези,Твердая бумажная,4000,21.7 x 14.4 x 2.3,,368
887823,2508486,9785699840465,Емец Д.,16+,2016,1,Эксмо,416,Таня Гроттер и ботинки кентавра,,,,3,Таня Гроттер. Легендарное детское фэнтези,Твердая бумажная,5000,22 x 14.3 x 2.3,,327
888578,2509026,9785170952670,Фрай М.,18+,2016,2,АСТ,480,Карты на стол,,,,4,Миры Макса Фрая,Твердая бумажная,15000,20.5 x 13 x 2.5,,332
892906,2512062,9785373074896,Хантер Э.,6+,2017,4,Олма Медиагрупп,448,Стань диким! Огонь и Лед,,"Корчагина О.И., Максимова В.А.",,5,Коты-воители. Золотая коллекция,Твердая бумажная,3000,26.5 x 17 x 2.3,,609
892920,2512076,9785373078122,Хантер Э.,6+,2018,2,Олма Медиагрупп,352,Прерванный путь,,Максимова Вероника,,4,Хроники Стаи,Твердая бумажная,9000,20.5 x 13 x 1.3,Соколова Наталья,304
894293,2513495,9785170951963,Фрай М.,18+,2016,1,АСТ,384,Энциклопедия мифов: К-Я,,,,5,Миры Макса Фрая,Твердая бумажная,3500,20.5 x 13 x 2,,356
898955,2517542,9785170953349,Фрай М.,16+,2016,8,АСТ,480,Я иду искать,,,,4,Сновидения Ехо,Твердая бумажная,30000,20.7 x 13.3 x 2.5,,356
899097,2517466,9785699845521,Емец Д.,16+,2016,1,Эксмо,416,Таня Гроттер и колодец Посейдона,,,,3,Таня Гроттер. Легендарное детское фэнтези,Твердая бумажная,4000,21.8 x 14.3 x 2.3,,327
899624,2518066,9785699889174,Емец Д.,16+,2016,1,Эксмо,480,Мефодий Буслаев. Самый лучший враг,,,,5,Мефодий Буслаев,Твердая глянцевая,15000,20.6 x 13.2 x 3,,341
899976,2518165,9785699845538,Емец Д.,16+,2016,0,Эксмо,352,Таня Гроттер и локон Афродиты,,,,0,Таня Гроттер. Легендарное детское фэнтези,Твердая бумажная,3000,21.6 x 14.3 x 2,,368
901916,2519960,9785170969654,Фрай М.,18+,2016,1,АСТ,1200,Вселенная Ехо. Том 2,,,,5,,Твердая бумажная,3000,26.3 x 20.4 x 5.8,,1252
906001,2524302,9785170980888,Фрай М.,18+,2016,7,АСТ,416,Жалобная книга,,,,4,Миры Макса Фрая,Твердая бумажная,4000,20.5 x 13 x 2.4,,356
906674,2525237,9785699845552,Емец Д.,16+,2016,2,Эксмо,384,Таня Гроттер и перстень с жемчужиной,,,,5,Таня Гроттер. Легендарное детское фэнтези,Твердая бумажная,5000,22 x 14 x 2,,327
912049,2529655,9785699845569,Емец Д.,16+,2016,1,Эксмо,400,Таня Гроттер и проклятие некромага,,,,4,Таня Гроттер. Легендарное детское фэнтези,Твердая бумажная,5000,22 x 14 x 2.1,,327
912258,2530615,9785090422543,Хантер Э.,6+,2017,2,Просвещение,351,Коты-воители. Солнечный путь,,,,5,Коты-воители,Твердая бумажная,12000,20.5 x 13 x 1.7,,304
915767,2534431,9785170988105,Фрай М.,18+,2016,2,АСТ,320,Наперsники Синея,,,,5,Миры Макса Фрая,Твердая бумажная,10000,20.6 x 13 x 1.7,,332
924480,2543534,9785170988099,Фрай М.,16+,2016,0,АСТ,384,Чуб земли,,,,0,Эксклюзивная новая классика,Мягкая бумажная,5000,18 x 11.5 x 2.7,,162
926308,2545413,9785699845583,Емец Д.,16+,2016,0,Эксмо,368,Таня Гроттер и болтливый сфинкс,,,,0,Таня Гроттер. Легендарное детское фэнтези,Твердая бумажная,4000,22 x 14 x 2,,327
928858,2546933,9785090455404,Хантер Э.,6+,2018,7,Абрис,349,Юность Грома,,,,5,Коты-воители,Твердая бумажная,12000,20.6 x 13 x 1.8,,304
